identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
2018010135,FCIU3599588,HLD3384105,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010136,TRHU1793320,HLD4195530,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010136,GLDU5733188,HLD4196844,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010137,TRLU2761541,HLD4186775,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010138,DFSU2333642,HLD3380783,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010139,UACU4164334,HLD4182404,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010140,TRLU7101685,HLD4195290,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010141,GESU5641927,HLD3342199,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010142,CMAU1920158,AI20018861,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010143,TEMU2550526,AI20018990,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010144,APZU3522142,AI20018983,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010145,ECMU1597433,AI20018987,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010146,TCLU7463350,AI20018756,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010147,CMAU0551646,AI50009400,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010148,ECMU1721251,AI20018751,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010149,CMAU0625559,AI20018854,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010150,MAGU2353444,EMCGAY6386,,Container,2000,806,800,22G0,Loaded,House to House
2018010151,TEMU2550526,AI20018990,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010152,CMAU4728473,G0396135,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010152,CMAU4992526,G0396133,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010153,TCLU7372944,AI20018802,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010154,APZU3532937,AI50009341,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010155,TCLU3129730,HLB1971698,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010156,FCIU4532001,AI40049119,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010157,CLHU4703220,K1518488,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010158,CMAU1114363,AI50009342,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010159,TRLU8927558,APA10661941,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010160,GESU5139190,AM50059843,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010161,ECMU2022984,APA10661942,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010162,TCLU3954546,AI50009344,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010163,TRHU3579554,AI50009343,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010164,TRHU2677324,AI40049202,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010165,ECMU2022984,APA10661942,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010166,TRHU3579554,AI50009343,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010167,APZU4642760,AN60570680,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010168,CAIU9347121,AN60570734,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010169,SUDU8579238,H5669975,,40 ft. IL Container (Closed Top),4000,900,800,4510,Loaded,Pier to House
