port_of_lading,containers_2019,containers_2020,container_change,lat,lng
"Turbo,Colombia",12453211,18093,-12435118,8.1,-76.7333
"Turku,Finland",33,33709,33676,60.4517,22.2669
"Tuticorin,India",4306813,66334,-4240479,8.8056,78.145
"Tuxpan,Mexico",2521647,153,-2521494,19.5539,-103.3756
"Tuxpan,Mexico",2521647,153,-2521494,19.5661,-100.4625
"Tuxpan,Mexico",2521647,153,-2521494,21.8667,-105.45
"Uddevalla,Sweden",3128,5,-3123,58.3667,11.9333
"Ushuaia,Argentina",649942,117,-649825,-54.8019,-68.3031
"Uusikaupunki,Finland",2,464324,464322,60.8,21.4167
"Vaasa,Finland",12,8328,8316,63.1,21.6167
"Valdivia,Chile",7161169,6,-7161163,-39.8139,-73.2458
"Valencia,Spain",300919182,1377,-300917805,39.47,-0.3764
"Valletta,Malta",2176,414062,411886,35.8983,14.5125
"Vanino,Russia",41,7359,7318,49.0873,140.2425
"Varna,Bulgaria",132658,114,-132544,43.2114,27.9111
"Venice,Italy",110855,6474,-104381,45.4397,12.3319
"Veracruz,Mexico",125283683,29287,-125254396,19.1903,-96.1533
"Victoria,Seychelles",17,399430,399413,-4.6231,55.4525
"Vigo,Spain",251121,63,-251058,42.2314,-8.7124
"Vila do Conde,Brazil",99634,3,-99631,-7.26,-34.9078
"Villeta,Paraguay",14486,637130,622644,-25.5123,-57.5647
"Vinaroz,Spain",5201,894511,889310,40.4686,0.4736
"Vladivostok,Russia",16045,0,-16045,43.115,131.8853
"Vlissingen,Netherlands",124,0,-124,51.45,3.5833
"Vyborg,Russia",52331,0,-52331,60.7167,28.7667
"Wakayama,Japan",34538,0,-34538,34.2333,135.1667
"Warri,Nigeria",33,0,-33,5.5167,5.75
"Waterford,Ireland",6440,0,-6440,52.2583,-7.119
"Weipa,Australia",9,0,-9,-12.63,141.8786
"Whakatane,New Zealand",153848,0,-153848,-37.964,176.984
"Workington,United Kingdom",10877,0,-10877,54.6365,-3.5549
"Wyndham,Australia",9863,0,-9863,-15.4825,128.1228
"Yalta,Ukraine",33910,0,-33910,44.4994,34.17
"Yokohama,Japan",28009420,0,-28009420,35.4442,139.6381
"Yokosuka,Japan",23399,0,-23399,35.0,16.0
"Ystad,Sweden",260660,0,-260660,55.4167,13.8167
"Zaandam,Netherlands",5526,0,-5526,52.4333,4.8333
"Ziguinchor,Senegal",2448,0,-2448,12.5861,-16.2707
"Zonguldak,Turkey",1635774,0,-1635774,41.4564,31.7986
